x,y,z,r,s,phi,theta,tri_spin,type,grid_pos,dx_from_flat,dy_from_flat,tri_points_up,geometry
-488.330015,93.979155,11.990935,497.290946,497.490671,169.106605,2.497486,,module,front,0.196126,-0.037744,1,POINT Z (-488.330015178381 93.97915523887079 11.990935043343473)
-447.662055,117.480822,10.310555,462.820763,462.979538,165.295344,2.370341,,module,front,0.153575,-0.040303,0,POINT Z (-447.6620545000639 117.48082166890558 10.310555435439307)
-528.982359,117.464657,14.318775,541.867402,542.127891,167.48017,2.641918,,module,front,0.254294,-0.056468,0,POINT Z (-528.9823590318513 117.46465668600088 14.318774624340598)
-488.335688,46.990124,11.655493,490.591292,490.782625,174.503633,2.473759,,module,front,0.190453,-0.018326,0,POINT Z (-488.33568833598076 46.9901235192799 11.655492808675918)
-406.960709,234.958875,10.647061,469.91775,470.084499,150.0,2.397519,,module,front,0.144409,-0.083374,1,POINT Z (-406.96070903570876 234.9588749113674 10.64706149537423)
-366.277603,258.463911,9.637611,448.28883,448.432031,144.791281,2.313174,,module,front,0.117003,-0.082564,0,POINT Z (-366.27760256813224 258.46391076102884 9.637611055554949)
-447.620432,258.433777,12.993734,516.867554,517.092949,150.0,2.563892,,module,front,0.195197,-0.112697,0,POINT Z (-447.6204322834724 258.43377707363936 12.993733631965295)
-406.975114,187.973753,9.637611,448.28883,448.432031,155.208719,2.313174,,module,front,0.130004,-0.060046,0,POINT Z (-406.97511396459134 187.9737532807482 9.637611055554949)
-488.307675,187.949712,13.326485,523.229854,523.463944,158.948276,2.584495,,module,front,0.218466,-0.084088,0,POINT Z (-488.30767525962085 187.94971183900165 13.326485158674268)
-488.291408,234.929313,14.318775,541.867402,542.127891,154.306619,2.641918,,module,front,0.234733,-0.112936,1,POINT Z (-488.29140833709346 234.92931337200193 14.318774624340598)
-528.970929,164.446966,14.974316,553.943182,554.22145,162.730528,2.676678,,module,front,0.265724,-0.082609,1,POINT Z (-528.970929064968 164.44696600184756 14.974315756758621)
-447.651518,164.469279,10.983454,476.908823,477.08366,159.82643,2.423798,,module,front,0.164112,-0.060295,1,POINT Z (-447.65151795357684 164.46927915959049 10.983454285066953)
-325.553343,375.916621,11.990935,497.290946,497.490671,130.893395,2.497486,,module,front,0.130751,-0.150978,1,POINT Z (-325.553343452254 375.916620955483 11.99093504334347)
-284.862485,399.41605,11.655493,490.591292,490.782625,125.496367,2.473759,,module,front,0.111098,-0.155774,0,POINT Z (-284.8624848626554 399.4160499138795 11.655492808675914)
-366.218556,399.379833,14.318775,541.867402,542.127891,132.51983,2.641918,,module,front,0.17605,-0.191991,0,POINT Z (-366.21855625282 399.37983273240343 14.318774624340593)
-325.572403,328.946301,10.310555,462.820763,462.979538,134.704656,2.370341,,module,front,0.111691,-0.112848,0,POINT Z (-325.57240327277367 328.9463006729362 10.310555435439305)
-406.923063,328.911996,13.326485,523.229854,523.463944,141.051724,2.584495,,module,front,0.182055,-0.147153,0,POINT Z (-406.9230627163507 328.9119957182528 13.326485158674268)
-406.900715,375.878779,14.974316,553.943182,554.22145,137.269472,2.676678,,module,front,0.204403,-0.188819,1,POINT Z (-406.90071466536 375.8787794327948 14.974315756758621)
-447.600458,305.408107,14.318775,541.867402,542.127891,145.693381,2.641918,,module,front,0.215172,-0.146817,1,POINT Z (-447.60045764233564 305.4081073836026 14.318774624340598)
-366.260333,305.442947,10.983454,476.908823,477.08366,140.17357,2.423798,,module,front,0.134273,-0.111977,1,POINT Z (-366.26033287110846 305.4429470106678 10.98345428506695)
-488.307675,-187.949712,13.326485,523.229854,523.463944,-158.948276,2.584495,,module,front,0.218466,0.084088,1,POINT Z (-488.30767525962085 -187.94971183900165 13.326485158674268)
-447.651518,-164.469279,10.983454,476.908823,477.08366,-159.82643,2.423798,,module,front,0.164112,0.060295,0,POINT Z (-447.65151795357684 -164.46927915959049 10.983454285066953)
-528.970929,-164.446966,14.974316,553.943182,554.22145,-162.730528,2.676678,,module,front,0.265724,0.082609,0,POINT Z (-528.970929064968 -164.44696600184778 14.974315756758621)
-488.291408,-234.929313,14.318775,541.867402,542.127891,-154.306619,2.641918,,module,front,0.234733,0.112936,0,POINT Z (-488.29140833709346 -234.92931337200193 14.318774624340598)
-406.999084,-46.996206,7.960406,409.703427,409.810165,-173.413224,2.152267,,module,front,0.106033,0.012244,1,POINT Z (-406.9990843583751 -46.99620618284779 7.960405567480758)
-366.320355,-23.499462,6.300783,367.073327,367.14773,-176.329503,1.960977,,module,front,0.074251,0.004763,0,POINT Z (-366.3203552081082 -23.49946174322662 6.300783337152622)
-447.672625,-23.496719,9.637611,448.28883,448.432031,-176.995508,2.313174,,module,front,0.143004,0.007506,0,POINT Z (-447.67262536105045 -23.496719160093498 9.637611055554949)
-406.994311,-93.99131,8.294849,417.706518,417.820242,-166.996088,2.186664,,module,front,0.110807,0.02559,0,POINT Z (-406.99431098226296 -93.99131000170235 8.29484906530146)
-488.330015,-93.979155,11.990935,497.290946,497.490671,-169.106605,2.497486,,module,front,0.196126,0.037744,0,POINT Z (-488.330015178381 -93.97915523887079 11.990935043343473)
-488.335688,-46.990124,11.655493,490.591292,490.782625,-174.503633,2.473759,,module,front,0.190453,0.018326,1,POINT Z (-488.33568833598076 -46.9901235192799 11.655492808675918)
-528.982359,-117.464657,14.318775,541.867402,542.127891,-167.48017,2.641918,,module,front,0.254294,0.056468,1,POINT Z (-528.9823590318513 -117.46465668600088 14.318774624340598)
-447.662055,-117.480822,10.310555,462.820763,462.979538,-165.295344,2.370341,,module,front,0.153575,0.040303,1,POINT Z (-447.6620545000639 -117.48082166890558 10.310555435439307)
-325.629074,94.001017,5.318774,338.925486,338.982753,163.897886,1.828006,,module,front,0.05502,-0.015883,1,POINT Z (-325.6290743466272 94.00101686499687 5.318774127117506)
-284.934763,117.505116,4.350474,308.21303,308.25502,157.589089,1.677729,,module,front,0.038819,-0.016009,0,POINT Z (-284.93476335081033 117.50511594433758 4.350473837993342)
-366.311956,117.494615,6.961704,384.693948,384.780745,162.216349,2.041616,,module,front,0.08265,-0.02651,0,POINT Z (-366.31195641442224 117.49461480180285 6.9617036783063195)
-325.632666,47.001027,4.994347,329.007188,329.059149,171.786789,1.780025,,module,front,0.051428,-0.007423,0,POINT Z (-325.6326657737476 47.00102681035205 4.9943471962030275)
-406.999084,46.996206,7.960406,409.703427,409.810165,173.413224,2.152267,,module,front,0.106033,-0.012244,0,POINT Z (-406.9990843583751 46.99620618284779 7.960405567480758)
-406.994311,93.99131,8.294849,417.706518,417.820242,166.996088,2.186664,,module,front,0.110807,-0.02559,1,POINT Z (-406.99431098226296 93.99131000170235 8.29484906530146)
-447.672625,23.496719,9.637611,448.28883,448.432031,176.995508,2.313174,,module,front,0.143004,-0.007506,1,POINT Z (-447.67262536105045 23.496719160093498 9.637611055554949)
-366.320355,23.499462,6.300783,367.073327,367.14773,176.329503,1.960977,,module,front,0.074251,-0.004763,1,POINT Z (-366.3203552081082 23.49946174322662 6.300783337152622)
-244.221806,235.002542,5.318774,338.925486,338.982753,136.102114,1.828006,,module,front,0.041265,-0.039707,1,POINT Z (-244.22180575997038 235.00254216249235 5.318774127117507)
