x,y,z,r,s,phi,theta,tri_spin,type,grid_pos,dx_from_flat,dy_from_flat,tri_points_up,geometry
-468.089724,90.083909,10.972331,476.679243,476.853811,169.106605,2.422943,,module,front,0.171423,-0.03299,1,POINT Z (-468.0897243136224 90.08390944578923 10.97233123489168)
-430.792766,111.636045,9.489392,445.022487,445.162326,165.471897,2.300054,,module,front,0.135368,-0.035079,0,POINT Z (-430.7927657873039 111.63604517479858 9.489391595865587)
-505.373162,111.622313,13.029451,517.55345,517.779774,167.544985,2.566137,,module,front,0.220997,-0.048812,0,POINT Z (-505.3731622192138 111.62231274273051 13.029451246159786)
-468.09463,46.991733,10.67238,470.447453,470.614806,174.267318,2.399527,,module,front,0.166517,-0.016717,0,POINT Z (-468.0946302618045 46.99173336571194 10.67238021676505)
-390.091666,225.219529,9.735798,450.439057,450.584499,150.0,2.321758,,module,front,0.125956,-0.072721,1,POINT Z (-390.0916662352988 225.2195285095794 9.735798052246349)
-352.781741,246.774517,8.845339,430.525979,430.651518,145.026809,2.240674,,module,front,0.102869,-0.071958,0,POINT Z (-352.78174101180934 246.7745165474947 8.845338766989773)
-427.381805,246.749,11.800524,493.498,493.692949,150.0,2.484114,,module,front,0.16883,-0.097474,0,POINT Z (-427.3818046133251 246.74899994025122 11.800524362554032)
-390.103871,182.130691,8.845339,430.525979,430.651518,154.973191,2.240674,,module,front,0.113752,-0.053108,0,POINT Z (-390.10387084265847 182.13069143378206 8.845338766989775)
-468.069681,180.160104,12.206006,501.544504,501.749663,158.948276,2.51229,,module,front,0.191466,-0.073695,0,POINT Z (-468.0696809955068 180.16010421483875 12.206005569763978)
-468.055624,223.244223,13.082417,518.569233,518.796937,154.500684,2.569451,,module,front,0.205523,-0.098027,1,POINT Z (-468.0556236963583 223.24422281632397 13.08241708515475)
-505.362257,158.606792,13.666345,529.666995,529.91005,162.575654,2.60483,,module,front,0.231903,-0.072782,1,POINT Z (-505.36225700486125 158.60679243921973 13.666345310418105)
-430.783012,158.626137,10.134317,459.060187,459.214834,159.784907,2.35574,,module,front,0.145122,-0.053438,1,POINT Z (-430.7830122097532 158.62613664034455 10.134317189828707)
-312.059816,360.335638,10.972331,476.679243,476.853811,130.893395,2.422943,,module,front,0.114282,-0.131961,1,POINT Z (-312.05981620908165 360.3356377831568 10.972331234891682)
-274.74335,381.885974,10.67238,470.447453,470.614806,125.732682,2.399527,,module,front,0.097735,-0.135849,0,POINT Z (-274.74334999347366 381.88597449895076 10.672380216765045)
-349.35434,381.854841,13.029451,517.55345,517.779774,132.455015,2.566137,,module,front,0.152771,-0.166983,0,POINT Z (-349.354339573983 381.8548405013479 13.029451246159786)
-312.076034,317.259456,9.489392,445.022487,445.162326,134.528103,2.300054,,module,front,0.098064,-0.099693,0,POINT Z (-312.07603399305475 317.25945635096565 9.489391595865587)
-390.058067,315.280182,12.206006,501.544504,501.749663,141.051724,2.51229,,module,front,0.159555,-0.128967,0,POINT Z (-390.0580674962557 315.28018237596774 12.206005569763978)
-390.03864,358.353156,13.666345,529.666995,529.91005,137.424346,2.60483,,module,front,0.178982,-0.164442,1,POINT Z (-390.0386399675606 358.35315646044035 13.666345310418105)
-427.36298,293.725949,13.082417,518.569233,518.796937,145.499316,2.569451,,module,front,0.187655,-0.128975,1,POINT Z (-427.36298005522946 293.7259490970537 13.08241708515475)
-352.76577,293.755964,10.134317,459.060187,459.214834,140.215093,2.35574,,module,front,0.11884,-0.09896,1,POINT Z (-352.7657701395966 293.755963772256 10.134317189828712)
-468.069681,-180.160104,12.206006,501.544504,501.749663,-158.948276,2.51229,,module,front,0.191466,0.073695,1,POINT Z (-468.0696809955068 -180.16010421483875 12.206005569763978)
-430.783012,-158.626137,10.134317,459.060187,459.214834,-159.784907,2.35574,,module,front,0.145122,0.053438,0,POINT Z (-430.7830122097531 -158.62613664034473 10.134317189828707)
-505.362257,-158.606792,13.666345,529.666995,529.91005,-162.575654,2.60483,,module,front,0.231903,0.072782,0,POINT Z (-505.36225700486125 -158.60679243921973 13.666345310418105)
-468.055624,-223.244223,13.082417,518.569233,518.796937,-154.500684,2.569451,,module,front,0.205523,0.098027,0,POINT Z (-468.05562369635817 -223.2442228163242 13.08241708515475)
-390.125348,-45.047795,7.274395,392.717571,392.810459,-173.413224,2.077619,,module,front,0.092275,0.010655,1,POINT Z (-390.125347528035 -45.04779488260144 7.274394831830918)
-352.818949,-23.499852,5.81943,353.600699,353.666504,-176.189387,1.897942,,module,front,0.06566,0.004373,0,POINT Z (-352.81894931941355 -23.499851559771994 5.819429994307505)
-427.427603,-23.497461,8.738607,428.072992,428.19621,-176.853382,2.230446,,module,front,0.123032,0.006764,0,POINT Z (-427.4276034097534 -23.497461373047383 8.738607253733562)
-390.121418,-88.145163,7.562729,399.955361,400.05399,-167.268206,2.109694,,module,front,0.096204,0.021737,0,POINT Z (-390.12141830294826 -88.14516310172444 7.5627288740063445)
-468.089724,-90.083909,10.972331,476.679243,476.853811,-169.106605,2.422943,,module,front,0.171423,0.03299,0,POINT Z (-468.0897243136224 -90.08390944578923 10.97233123489168)
-468.09463,-46.991733,10.67238,470.447453,470.614806,-174.267318,2.399527,,module,front,0.166517,0.016717,1,POINT Z (-468.0946302618045 -46.99173336571194 10.67238021676505)
-505.373162,-111.622313,13.029451,517.55345,517.779774,-167.544985,2.566137,,module,front,0.220997,0.048812,1,POINT Z (-505.3731622192138 -111.62231274273051 13.029451246159786)
-430.792766,-111.636045,9.489392,445.022487,445.162326,-165.471897,2.300054,,module,front,0.135368,0.035079,1,POINT Z (-430.79276578730395 -111.6360451747986 9.489391595865593)
-312.126198,90.103072,4.862373,324.871246,324.921103,163.897886,1.759853,,module,front,0.0479,-0.013828,1,POINT Z (-312.1261975191171 90.10307207939823 4.862373396938335)
