# %ECSV 1.0
# ---
# datatype:
# - {name: R, unit: mm, datatype: float64, description: 'CS5 radius, i.e. sqrt(X**2 + Y**2)'}
# - {name: Z, unit: mm, datatype: float64, description: CS5 Z coordinate}
# - {name: S, unit: mm, datatype: float64, description: distance from focalplane center along curved focal surface (arclength)}
# meta: {comment: Focal plane curve mapping, curve_r: -9767.0, diameter: 1160.0}
# schema: astropy-2.0
R Z S
0.0 -0.0 0.0
1.0 -5.119279218903973e-05 1.0000000017471347
2.0 -0.00020477117036609156 2.0000000139770777
3.0 -0.00046073513936095364 3.000000047172637
4.0 -0.0008190847072232907 4.000000111816626
5.0 -0.0012798198852226345 5.000000218391856
6.0 -0.0018429406878483863 6.000000377381145
7.0 -0.0025084471328098196 7.000000599267319
8.0 -0.003276339241036082 8.000000894533205
9.0 -0.004146617036676198 9.000001273661638
10.0 -0.005119280547099075 10.000001747135464
11.0 -0.006194329802893504 11.000002325437531
12.0 -0.007371764837868169 12.000003019050707
13.0 -0.00865158568905165 13.000003838457863
14.0 -0.010033792396692427 14.000004794141882
15.0 -0.011518385004258887 15.000005896585666
16.0 -0.013105363558439337 16.000007156272122
17.0 -0.014794728109142001 17.000008583684185
18.0 -0.016586478709495034 18.000010189304785
19.0 -0.018480615415846533 19.000011983616897
20.0 -0.020477138287764533 20.000013977103485
21.0 -0.02257604738803705 21.000016180247552
22.0 -0.024777342782672025 22.00001860353211
23.0 -0.02708102454089742 23.0000212574402
24.0 -0.029487092735161147 24.00002415245487
25.0 -0.03199554744113116 25.000027299059216
26.0 -0.03460638873769538 26.00003070773634
27.0 -0.03731961670696177 27.000034388969357
28.0 -0.04013523143425833 28.000038353241436
29.0 -0.04305323300813313 29.00004261103576
30.0 -0.04607362152035425 30.000047172835522
31.0 -0.04919639706590991 31.00005204912398
32.0 -0.0524215597430084 32.0000572503844
33.0 -0.055749109653078076 33.00006278710006
34.0 -0.05917904690076748 34.00006866975431
35.0 -0.06271137159394528 35.00007490883052
36.0 -0.06634608384370029 36.00008151481206
37.0 -0.07008318376434149 37.00008849818238
38.0 -0.07392267147339807 38.000095869424946
39.0 -0.07786454709161943 39.00010363902325
40.0 -0.08190881074297518 40.00011181746085
41.0 -0.08605546255465524 41.00012041522131
42.0 -0.09030450265706973 42.00012944278826
43.0 -0.0946559311838491 43.000138910645354
44.0 -0.0991097482718441 44.00014882927629
45.0 -0.10366595406112582 45.00015920916482
46.0 -0.10832454869498566 46.00017006079472
47.0 -0.1130855323199355 47.000181394649836
48.0 -0.11794890508570752 48.000193221214026
49.0 -0.1229146671452544 49.000205550971245
50.0 -0.1279828186547492 50.00021839440544
51.0 -0.13315335977358547 51.000231762000624
52.0 -0.13842629066437737 52.00024566424089
53.0 -0.14380161149295934 53.00026011161034
54.0 -0.14927932242838662 54.000275114593144
55.0 -0.15485942364293495 55.00029068367355
56.0 -0.16054191531210052 56.0003068293358
57.0 -0.16632679761460042 57.000323562064246
58.0 -0.1722140707323722 58.000340892343274
