# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
0.000000000	0.000000000	3.677117215	3.677117215	13.919703392	13.919703406	67.484569410	67.484569480
0.955314420	0.003932148	3.677120088	3.677118158	13.919713750	13.919706988	67.484619630	67.484586848
1.910630305	0.007864293	3.677128705	3.677120978	13.919745733	13.919717735	67.484774690	67.484638950
2.865949120	0.011796438	3.677143063	3.677125685	13.919799341	13.919735647	67.485034588	67.484725790
3.821272338	0.015728583	3.677163165	3.677132275	13.919874574	13.919760723	67.485399323	67.484847360
4.776601420	0.019660733	3.677189010	3.677140743	13.919971431	13.919792963	67.485868900	67.485003668
5.731937835	0.023592878	3.677220598	3.677151095	13.920089913	13.919832368	67.486443315	67.485194708
6.687283045	0.027525023	3.677257933	3.677163328	13.920230018	13.919878938	67.487122563	67.485420480
7.642638523	0.031457168	3.677301010	3.677177443	13.920391746	13.919932671	67.487906645	67.485680988
8.598005733	0.035389318	3.677349833	3.677193438	13.920575098	13.919993569	67.488795560	67.485976230
9.553386138	0.039321463	3.677404398	3.677211318	13.920780072	13.920061631	67.489789300	67.486306203
10.508781208	0.043253608	3.677464708	3.677231078	13.921006667	13.920136857	67.490887865	67.486670908
11.464192410	0.047185753	3.677530765	3.677252725	13.921254884	13.920219247	67.492091253	67.487070345
12.419621213	0.051117900	3.677602565	3.677276248	13.921524721	13.920308800	67.493399458	67.487504513
13.375069078	0.055050048	3.677680113	3.677301658	13.921816178	13.920405517	67.494812480	67.487973410
14.330537473	0.058982193	3.677763410	3.677328948	13.922129254	13.920509397	67.496330310	67.488477035
15.286027868	0.062914338	3.677852450	3.677358125	13.922463947	13.920620441	67.497952948	67.489015385
16.241541725	0.066846488	3.677947240	3.677389178	13.922820257	13.920738647	67.499680388	67.489588465
17.197080518	0.070778633	3.678047775	3.677422115	13.923198183	13.920864017	67.501512623	67.490196273
18.152645710	0.074710778	3.678154063	3.677456935	13.923597724	13.920996548	67.503449650	67.490838805
19.108238768	0.078642923	3.678266098	3.677493638	13.924018878	13.921136242	67.505491465	67.491516063
20.063861158	0.082575070	3.678383885	3.677532223	13.924461645	13.921283098	67.507638055	67.492228038
21.019514350	0.086507218	3.678507420	3.677572688	13.924926024	13.921437116	67.509889425	67.492974738
21.975199813	0.090439363	3.678636708	3.677615038	13.925412012	13.921598296	67.512245558	67.493756155
22.930919013	0.094371508	3.678771748	3.677659273	13.925919608	13.921766637	67.514706458	67.494572298
23.886673410	0.098303653	3.678912538	3.677705385	13.926448812	13.921942138	67.517272108	67.495423150
24.842464483	0.102235803	3.679059085	3.677753385	13.926999622	13.922124801	67.519942505	67.496308725
25.798293693	0.106167948	3.679211385	3.677803268	13.927572036	13.922314623	67.522717645	67.497229008
26.754162515	0.110100093	3.679369440	3.677855035	13.928166053	13.922511606	67.525597515	67.498184010
27.710072410	0.114032238	3.679533253	3.677908678	13.928781671	13.922715749	67.528582115	67.499173718
28.666024850	0.117964388	3.679702823	3.677964208	13.929418889	13.922927050	67.531671430	67.500198138
29.622021305	0.121896533	3.679878148	3.678021625	13.930077705	13.923145511	67.534865458	67.501257263
30.578063235	0.125828678	3.680059238	3.678080915	13.930758117	13.923371131	67.538164183	67.502351100
31.534152118	0.129760823	3.680246088	3.678142098	13.931460123	13.923603909	67.541567605	67.503479633
32.490289418	0.133692970	3.680438698	3.678205163	13.932183722	13.923843845	67.545075708	67.504642873
33.446476605	0.137625118	3.680637068	3.678270105	13.932928913	13.924090938	67.548688490	67.505840818
34.402715150	0.141557263	3.680841205	3.678336938	13.933695692	13.924345188	67.552405943	67.507073458
35.359006523	0.145489408	3.681051105	3.678405653	13.934484059	13.924606596	67.556228045	67.508340795
36.315352193	0.149421553	3.681266770	3.678476248	13.935294011	13.924875159	67.560154805	67.509642828
