# INFILE= spec-qso-z2.4-rmag22.62.dat
# AIRMASS= 1.00000
# MODEL= star
# EXPTIME= 2000
# READNOISE= 3.00000;2.90000;2.90000
#
# Median (S/N)= 0.76783968
# Total (S/N)^2= 7589.5435
#
# Wave    Flux        Invvar      S/N         Counts_obj  Counts_sky  Counts_read  FWHM
# [Ang] [e-17 erg/s/cm^2/Ang] [1/(e-17 erg/s/cm^2/Ang)^2] [] [electrons] [electrons] [electrons] [Ang]
  3500.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3500.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3501.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3501.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3502.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3502.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3503.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3503.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3504.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3504.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3505.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3505.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3506.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3506.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3507.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3507.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3508.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3508.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3509.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3509.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3510.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3510.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3511.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3511.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3512.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3512.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3513.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3513.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3514.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3514.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3515.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3515.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3516.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3516.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3517.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3517.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3518.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3518.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3519.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3519.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3520.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3520.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3521.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3521.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3522.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3522.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3523.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3523.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3524.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3524.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3525.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3525.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3526.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3526.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3527.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3527.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  1.0000e+00   1.000
  3528.00  0.0000e+00  0.0000e+00  0.0000e+00  1.2630e-11  2.2745e-10  1.0000e+00   1.000
  3528.50  0.0000e+00  0.0000e+00  0.0000e+00  1.5038e-09  2.7907e-08  1.0000e+00   1.000
  3529.00  0.0000e+00  0.0000e+00  0.0000e+00  7.7346e-08  1.4387e-06  1.0000e+00   1.000
  3529.50  0.0000e+00  0.0000e+00  0.0000e+00  2.5582e-06  4.7680e-05  1.0000e+00   1.000
  3530.00  0.0000e+00  0.0000e+00  0.0000e+00  5.4948e-05  1.0248e-03  1.0000e+00   1.000
  3530.50  0.0000e+00  0.0000e+00  0.0000e+00  7.7079e-04  1.4353e-02  1.0000e+00   1.000
  3531.00  0.0000e+00  0.0000e+00  0.0000e+00  7.1131e-03  1.3183e-01  1.0000e+00   1.000
  3531.50  0.0000e+00  0.0000e+00  0.0000e+00  4.3624e-02  8.0114e-01  1.0000e+00   1.000
  3532.00  0.0000e+00  0.0000e+00  0.0000e+00  1.8043e-01  3.2643e+00  1.0000e+00   1.000
  3532.50  0.0000e+00  0.0000e+00  0.0000e+00  5.1454e-01  9.1076e+00  1.0000e+00   1.000
  3533.00  5.6346e-01  0.0000e+00  0.0000e+00  1.0466e+00  1.8028e+01  5.2153e+00   1.741
  3533.50  5.6079e-01  0.0000e+00  0.0000e+00  1.5989e+00  2.6877e+01  5.2149e+00   1.741
  3534.00  5.5730e-01  0.0000e+00  0.0000e+00  1.9712e+00  3.2991e+01  5.2145e+00   1.741
  3534.50  5.5373e-01  0.0000e+00  0.0000e+00  2.1321e+00  3.6621e+01  5.2141e+00   1.741
  3535.00  5.5043e-01  0.0000e+00  0.0000e+00  2.1737e+00  3.8640e+01  5.2137e+00   1.741
  3535.50  5.4735e-01  0.0000e+00  0.0000e+00  2.1762e+00  3.8955e+01  5.2133e+00   1.741
  3536.00  5.4457e-01  0.0000e+00  0.0000e+00  2.1717e+00  3.7799e+01  5.2129e+00   1.741
  3536.50  5.4235e-01  0.0000e+00  0.0000e+00  2.1683e+00  3.6326e+01  5.2125e+00   1.741
  3537.00  5.4079e-01  0.0000e+00  0.0000e+00  2.1674e+00  3.5918e+01  5.2121e+00   1.741
  3537.50  5.3961e-01  0.0000e+00  0.0000e+00  2.1679e+00  3.7166e+01  5.2117e+00   1.741
  3538.00  5.3831e-01  0.0000e+00  0.0000e+00  2.1679e+00  3.9030e+01  5.2113e+00   1.741
  3538.50  5.3654e-01  0.0000e+00  0.0000e+00  2.1660e+00  3.9745e+01  5.2109e+00   1.741
  3539.00  5.3422e-01  0.0000e+00  0.0000e+00  2.1618e+00  3.9044e+01  5.2105e+00   1.741
  3539.50  5.3125e-01  0.0000e+00  0.0000e+00  2.1550e+00  3.8654e+01  5.2100e+00   1.740
  3540.00  5.2761e-01  0.0000e+00  0.0000e+00  2.1453e+00  4.0271e+01  5.2096e+00   1.740
