#   WAVELENGTH        FLUX
#------------- -----------
     3500.000     0.14303
     3500.100     0.14305
     3500.200     0.14308
     3500.300     0.14310
     3500.400     0.14312
     3500.500     0.14314
     3500.600     0.14316
     3500.700     0.14317
     3500.800     0.14318
     3500.900     0.14319
     3501.000     0.14320
     3501.100     0.14322
     3501.200     0.14323
     3501.300     0.14324
     3501.400     0.14323
     3501.500     0.14322
     3501.600     0.14321
     3501.700     0.14320
     3501.800     0.14319
     3501.900     0.14318
     3502.000     0.14317
     3502.100     0.14315
     3502.200     0.14311
     3502.300     0.14306
     3502.400     0.14302
     3502.500     0.14298
     3502.600     0.14293
     3502.700     0.14289
     3502.800     0.14285
     3502.900     0.14280
     3503.000     0.14271
     3503.100     0.14261
     3503.200     0.14252
     3503.300     0.14243
     3503.400     0.14234
     3503.500     0.14225
     3503.600     0.14216
     3503.700     0.14207
     3503.800     0.14193
     3503.900     0.14178
     3504.000     0.14164
     3504.100     0.14150
     3504.200     0.14136
     3504.300     0.14121
     3504.400     0.14107
     3504.500     0.14093
     3504.600     0.14074
     3504.700     0.14055
     3504.800     0.14036
     3504.900     0.14017
     3505.000     0.13998
     3505.100     0.13979
     3505.200     0.13960
     3505.300     0.13941
     3505.400     0.13919
     3505.500     0.13897
     3505.600     0.13875
     3505.700     0.13853
     3505.800     0.13830
     3505.900     0.13808
     3506.000     0.13786
     3506.100     0.13764
     3506.200     0.13741
     3506.300     0.13718
     3506.400     0.13696
     3506.500     0.13673
     3506.600     0.13650
     3506.700     0.13627
     3506.800     0.13604
     3506.900     0.13581
     3507.000     0.13560
     3507.100     0.13539
     3507.200     0.13518
     3507.300     0.13497
     3507.400     0.13476
     3507.500     0.13455
     3507.600     0.13434
     3507.700     0.13413
     3507.800     0.13394
     3507.900     0.13377
     3508.000     0.13359
     3508.100     0.13342
     3508.200     0.13325
     3508.300     0.13307
     3508.400     0.13290
     3508.500     0.13273
     3508.600     0.13258
     3508.700     0.13245
     3508.800     0.13232
     3508.900     0.13218
     3509.000     0.13205
     3509.100     0.13192
     3509.200     0.13179
     3509.300     0.13165
     3509.400     0.13154
     3509.500     0.13144
     3509.600     0.13133
     3509.700     0.13123
     3509.800     0.13113
     3509.900     0.13103
     3510.000     0.13093
     3510.100     0.13083
     3510.200     0.13073
     3510.300     0.13064
     3510.400     0.13055
     3510.500     0.13045
     3510.600     0.13036
     3510.700     0.13027
     3510.800     0.13018
     3510.900     0.13009
     3511.000     0.12999
     3511.100     0.12988
     3511.200     0.12978
     3511.300     0.12967
     3511.400     0.12956
     3511.500     0.12946
     3511.600     0.12935
     3511.700     0.12925
     3511.800     0.12913
     3511.900     0.12900
     3512.000     0.12886
     3512.100     0.12873
     3512.200     0.12860
     3512.300     0.12846
     3512.400     0.12833
     3512.500     0.12819
     3512.600     0.12805
     3512.700     0.12789
     3512.800     0.12773
     3512.900     0.12758
     3513.000     0.12742
     3513.100     0.12726
     3513.200     0.12710
     3513.300     0.12694
     3513.400     0.12678
     3513.500     0.12661
     3513.600     0.12645
     3513.700     0.12629
     3513.800     0.12612
     3513.900     0.12596
     3514.000     0.12580
     3514.100     0.12564
     3514.200     0.12547
     3514.300     0.12534
     3514.400     0.12521
     3514.500     0.12508
     3514.600     0.12495
     3514.700     0.12482
     3514.800     0.12469
     3514.900     0.12456
     3515.000     0.12443
     3515.100     0.12436
     3515.200     0.12430
     3515.300     0.12424
     3515.400     0.12418
     3515.500     0.12412
     3515.600     0.12406
     3515.700     0.12399
     3515.800     0.12393
     3515.900     0.12395
     3516.000     0.12398
     3516.100     0.12402
     3516.200     0.12405
     3516.300     0.12408
     3516.400     0.12412
     3516.500     0.12415
     3516.600     0.12418
     3516.700     0.12429
     3516.800     0.12442
     3516.900     0.12455
     3517.000     0.12468
     3517.100     0.12481
     3517.200     0.12494
     3517.300     0.12507
     3517.400     0.12520
     3517.500     0.12538
     3517.600     0.12558
     3517.700     0.12579
     3517.800     0.12600
     3517.900     0.12621
     3518.000     0.12641
     3518.100     0.12662
     3518.200     0.12683
     3518.300     0.12706
     3518.400     0.12731
     3518.500     0.12755
     3518.600     0.12780
     3518.700     0.12805
     3518.800     0.12830
     3518.900     0.12855
     3519.000     0.12879
     3519.100     0.12904
     3519.200     0.12929
     3519.300     0.12953
