#   WAVELENGTH        FLUX
#------------- -----------
     3500.000      1.1871
     3500.100      1.1874
     3500.200      1.1876
     3500.300      1.1879
     3500.400      1.1881
     3500.500      1.1883
     3500.600      1.1885
     3500.700      1.1885
     3500.800      1.1884
     3500.900      1.1884
     3501.000      1.1883
     3501.100      1.1883
     3501.200      1.1882
     3501.300      1.1882
     3501.400      1.1882
     3501.500      1.1885
     3501.600      1.1889
     3501.700      1.1892
     3501.800      1.1896
     3501.900      1.1899
     3502.000      1.1903
     3502.100      1.1906
     3502.200      1.1909
     3502.300      1.1905
     3502.400      1.1902
     3502.500      1.1898
     3502.600      1.1895
     3502.700      1.1891
     3502.800      1.1887
     3502.900      1.1884
     3503.000      1.1880
     3503.100      1.1875
     3503.200      1.1870
     3503.300      1.1866
     3503.400      1.1861
     3503.500      1.1856
     3503.600      1.1851
     3503.700      1.1847
     3503.800      1.1842
     3503.900      1.1846
     3504.000      1.1849
     3504.100      1.1853
     3504.200      1.1857
     3504.300      1.1861
     3504.400      1.1865
     3504.500      1.1869
     3504.600      1.1873
     3504.700      1.1870
     3504.800      1.1866
     3504.900      1.1862
     3505.000      1.1857
     3505.100      1.1853
     3505.200      1.1849
     3505.300      1.1845
     3505.400      1.1841
     3505.500      1.1831
     3505.600      1.1821
     3505.700      1.1811
     3505.800      1.1800
     3505.900      1.1790
     3506.000      1.1779
     3506.100      1.1769
     3506.200      1.1759
     3506.300      1.1753
     3506.400      1.1749
     3506.500      1.1746
     3506.600      1.1742
     3506.700      1.1738
     3506.800      1.1734
     3506.900      1.1731
     3507.000      1.1727
     3507.100      1.1725
     3507.200      1.1724
     3507.300      1.1722
     3507.400      1.1721
     3507.500      1.1720
     3507.600      1.1718
     3507.700      1.1717
     3507.800      1.1716
     3507.900      1.1712
     3508.000      1.1707
     3508.100      1.1701
     3508.200      1.1696
     3508.300      1.1691
     3508.400      1.1685
     3508.500      1.1680
     3508.600      1.1675
     3508.700      1.1671
     3508.800      1.1668
     3508.900      1.1665
     3509.000      1.1662
     3509.100      1.1659
     3509.200      1.1657
     3509.300      1.1654
     3509.400      1.1651
     3509.500      1.1645
     3509.600      1.1636
     3509.700      1.1627
     3509.800      1.1617
     3509.900      1.1608
     3510.000      1.1599
     3510.100      1.1589
     3510.200      1.1580
     3510.300      1.1570
     3510.400      1.1560
     3510.500      1.1550
     3510.600      1.1540
     3510.700      1.1530
     3510.800      1.1519
     3510.900      1.1509
     3511.000      1.1499
     3511.100      1.1484
     3511.200      1.1457
     3511.300      1.1430
     3511.400      1.1403
     3511.500      1.1376
     3511.600      1.1349
     3511.700      1.1322
     3511.800      1.1295
     3511.900      1.1272
     3512.000      1.1265
     3512.100      1.1258
     3512.200      1.1251
     3512.300      1.1244
     3512.400      1.1237
     3512.500      1.1230
     3512.600      1.1223
     3512.700      1.1217
     3512.800      1.1221
     3512.900      1.1226
     3513.000      1.1230
     3513.100      1.1235
     3513.200      1.1239
     3513.300      1.1244
     3513.400      1.1248
     3513.500      1.1253
     3513.600      1.1257
     3513.700      1.1262
     3513.800      1.1266
     3513.900      1.1271
     3514.000      1.1275
     3514.100      1.1280
     3514.200      1.1284
     3514.300      1.1289
     3514.400      1.1289
     3514.500      1.1289
     3514.600      1.1288
     3514.700      1.1288
     3514.800      1.1288
     3514.900      1.1288
     3515.000      1.1287
     3515.100      1.1287
     3515.200      1.1278
     3515.300      1.1267
     3515.400      1.1256
     3515.500      1.1245
     3515.600      1.1233
     3515.700      1.1222
     3515.800      1.1211
     3515.900      1.1200
     3516.000      1.1192
     3516.100      1.1185
     3516.200      1.1178
     3516.300      1.1171
     3516.400      1.1164
     3516.500      1.1157
     3516.600      1.1150
     3516.700      1.1143
     3516.800      1.1128
     3516.900      1.1109
     3517.000      1.1089
     3517.100      1.1070
     3517.200      1.1051
     3517.300      1.1031
     3517.400      1.1012
     3517.500      1.0992
     3517.600      1.0979
     3517.700      1.0971
     3517.800      1.0963
     3517.900      1.0954
     3518.000      1.0946
     3518.100      1.0938
     3518.200      1.0930
     3518.300      1.0922
     3518.400      1.0918
     3518.500      1.0921
     3518.600      1.0924
     3518.700      1.0927
     3518.800      1.0930
     3518.900      1.0933
     3519.000      1.0936
     3519.100      1.0939
     3519.200      1.0943
     3519.300      1.0950
     3519.400      1.0958
     3519.500      1.0965
     3519.600      1.0972
     3519.700      1.0979
     3519.800      1.0986
     3519.900      1.0994
     3520.000      1.0999
     3520.100      1.0997
     3520.200      1.0995
     3520.300      1.0993
     3520.400      1.0991
     3520.500      1.0989
     3520.600      1.0986
     3520.700      1.0984
     3520.800      1.0982
     3520.900      1.0972
     3521.000      1.0963
     3521.100      1.0954
     3521.200      1.0945
     3521.300      1.0936
     3521.400      1.0926
     3521.500      1.0917
     3521.600      1.0908
     3521.700      1.0898
     3521.800      1.0887
     3521.900      1.0877
     3522.000      1.0867
     3522.100      1.0857
     3522.200      1.0846
     3522.300      1.0836
     3522.400      1.0826
     3522.500      1.0820
     3522.600      1.0815
     3522.700      1.0809
     3522.800      1.0804
     3522.900      1.0798
     3523.000      1.0793
     3523.100      1.0788
     3523.200      1.0782
     3523.300      1.0778
     3523.400      1.0773
     3523.500      1.0769
     3523.600      1.0765
     3523.700      1.0760
     3523.800      1.0756
     3523.900      1.0752
     3524.000      1.0747
     3524.100      1.0741
     3524.200      1.0733
     3524.300      1.0725
     3524.400      1.0717
     3524.500      1.0709
     3524.600      1.0701
     3524.700      1.0693
     3524.800      1.0685
     3524.900      1.0683
     3525.000      1.0686
     3525.100      1.0688
     3525.200      1.0691
     3525.300      1.0693
     3525.400      1.0696
     3525.500      1.0699
     3525.600      1.0701
     3525.700      1.0702
     3525.800      1.0701
     3525.900      1.0700
     3526.000      1.0699
     3526.100      1.0698
     3526.200      1.0697
     3526.300      1.0696
     3526.400      1.0695
     3526.500      1.0694
     3526.600      1.0690
     3526.700      1.0687
     3526.800      1.0683
     3526.900      1.0680
     3527.000      1.0676
     3527.100      1.0673
     3527.200      1.0670
     3527.300      1.0665
     3527.400      1.0655
     3527.500      1.0645
     3527.600      1.0636
     3527.700      1.0626
     3527.800      1.0616
     3527.900      1.0606
     3528.000      1.0597
     3528.100      1.0588
     3528.200      1.0589
     3528.300      1.0591
     3528.400      1.0592
     3528.500      1.0594
     3528.600      1.0596
     3528.700      1.0597
     3528.800      1.0599
     3528.900      1.0600
     3529.000      1.0593
     3529.100      1.0586
     3529.200      1.0579
     3529.300      1.0571
     3529.400      1.0564
     3529.500      1.0556
     3529.600      1.0549
     3529.700      1.0542
     3529.800      1.0529
     3529.900      1.0514
     3530.000      1.0500
     3530.100      1.0486
     3530.200      1.0472
     3530.300      1.0457
     3530.400      1.0443
     3530.500      1.0429
     3530.600      1.0426
     3530.700      1.0428
     3530.800      1.0429
     3530.900      1.0431
     3531.000      1.0433
     3531.100      1.0435
     3531.200      1.0437
     3531.300      1.0439
     3531.400      1.0438
